lil_interpretations
"[(""it  ' s a charming and often affecting journey  ."", 0.0004755258560180664), ("" ' s a charming and often affecting journey"", 0.0004755258560180664), ('s a charming and often affecting journey', 0.0004755258560180664), ('a charming and often affecting journey', 0.0004755258560180664), ('charming and often affecting', 0.0004755258560180664)]"
[('fli', -0.3980357050895691), ('un', -0.39806944131851196), ('nch', -0.3989488482475281), ('desperate', -0.39985913038253784), ('ingly', -0.40012043714523315)]
[('allows us to hope that no lan is poised to embark a major career as a commercial yet inventive filmmaker  .', 0.0001697540283203125), ('allows us to hope that no lan is poised to embark a major career as a commercial yet inventive filmmaker', 0.0001697540283203125), ('us to hope that no lan is poised to embark a major career as a commercial yet inventive filmmaker', 0.0001697540283203125), ('to hope that no lan is poised to embark a major career as a commercial yet inventive filmmaker', 0.0001697540283203125), ('hope that no lan is poised to embark a major career as a commercial yet inventive filmmaker', 0.0001697540283203125)]
"[(""the acting  , costumes  , music  , cinema t ography and sound are all astounding given the production  ' s  au ster e local es  ."", 0.0005078315734863281), ('the acting  , costumes  , music  , cinema t ography and sound', 0.0005078315734863281), ('cinema t ography', 0.0005078315734863281), (""are all astounding given the production  ' s  au ster e local es"", 0.0005078315734863281), (""given the production  ' s  au ster e local es"", 0.0005078315734863281)]"
[('-', -0.40231019258499146), ('', -0.4034174084663391), (',', -0.4044021964073181), ('very', -0.40446192026138306), ('.', -0.4046311378479004)]
[('although  laced with humor and a few fan ci ful touches  , the film is a refreshing ly serious look at young women  .', 0.0004443526268005371), ('although  laced with humor and a few fan ci ful touches', 0.0004443526268005371), (' laced with humor and a few fan ci ful touches', 0.0004443526268005371), ('laced with humor and a few fan ci ful touches', 0.0004443526268005371), ('with humor and a few fan ci ful touches', 0.0004443526268005371)]
[('', -0.4155042767524719), ('sometimes', -0.41661691665649414), ('film', -0.4167800545692444), ('tedious', -0.4169098138809204), ('a', -0.4174689054489136)]
"[(""or doing last year  ' s taxes with your ex - wife  ."", 0.07433843612670898), (""doing last year  ' s taxes with your ex - wife"", 0.07423806190490723), (""last year  ' s taxes"", 0.06717294454574585), (""last year  ' s"", 0.0600699782371521), ('with your ex - wife', 0.0587540864944458)]"
"[(""you do  n ' t have to know about music to appreciate the film  ' s easy going blend of comedy and romance  ."", 0.0002879500389099121), (""do  n ' t have to know about music to appreciate the film  ' s easy going blend of comedy and romance"", 0.0002879500389099121), ("" n ' t have to know about music to appreciate the film  ' s easy going blend of comedy and romance"", 0.0002879500389099121), (""have to know about music to appreciate the film  ' s easy going blend of comedy and romance"", 0.0002879500389099121), ('to know about music', 0.0002879500389099121)]"
[('exactly', -0.3105393052101135), ('89', -0.3125864267349243), ('minutes', -0.31274574995040894), ('in', -0.3130483627319336), ('most', -0.31314176321029663)]
[('the me s mer izing performances of the leads keep the film grounded and keep the audience  ri ve ted  .', 0.0003266334533691406), ('the me s mer izing performances of the leads', 0.0003266334533691406), ('the me s mer izing performances', 0.0003266334533691406), ('me s mer izing', 0.0003266334533691406), ('of the leads', 0.0003266334533691406)]
[('of  ro bert for ster  ,  anne me ara  ,  eu gene levy  , and  re gin ald  vel john son all in the same movie', 0.012852370738983154), (' ro bert for ster  ,  anne me ara  ,  eu gene levy  , and  re gin ald  vel john son all in the same movie', 0.012742042541503906), ('the talents of  ro bert for ster  ,  anne me ara  ,  eu gene levy  , and  re gin ald  vel john son all in the same movie', 0.012592613697052002), ('waste the talents of  ro bert for ster  ,  anne me ara  ,  eu gene levy  , and  re gin ald  vel john son all in the same movie', 0.012348413467407227), ('to waste the talents of  ro bert for ster  ,  anne me ara  ,  eu gene levy  , and  re gin ald  vel john son all in the same movie', 0.01215440034866333)]
[('balance', -0.4050639867782593), ('needed', -0.4054165482521057), ('-LRB-', -0.4061581492424011), ('out', -0.4061763286590576), ('to', -0.4063478112220764)]
"[(""we root for  -LRB- clar a and pa ul  -RRB-  , even like them  , though perhaps it  ' s an emotion closer to pity  ."", 0.0155259370803833), (""root for  -LRB- clar a and pa ul  -RRB-  , even like them  , though perhaps it  ' s an emotion closer to pity"", 0.0155259370803833), ('for  -LRB- clar a and pa ul  -RRB-', 0.0155259370803833), ('clar a and pa ul', 0.0155259370803833), ('even like them', 0.0155259370803833)]"
[('seeking', -0.32368725538253784), ('re', -0.32606691122055054), ('horror', -0.32898277044296265), ('with', -0.3297420144081116), ('every', -0.3302765488624573)]
[('a gorgeous  , high - spirited musical from in dia that exquisite ly blend s music  , dance  , song  , and high drama  .', 0.0001360177993774414), ('a gorgeous  , high - spirited musical from in dia', 0.0001360177993774414), ('a gorgeous  , high - spirited musical', 0.0001360177993774414), ('high - spirited', 0.0001360177993774414), ('from in dia', 0.0001360177993774414)]
"[(""the emotions are raw and will strike a nerve with anyone who  ' s ever had family trauma  ."", 0.00042766332626342773), ('the emotions', 0.00042766332626342773), (""are raw and will strike a nerve with anyone who  ' s ever had family trauma"", 0.00042766332626342773), ('are raw', 0.00042766332626342773), (""will strike a nerve with anyone who  ' s ever had family trauma"", 0.00042766332626342773)]"
"[("" aud rey  t at ou has a knack for picking roles that  mag n ify her outrageous charm  , and in this  literate french comedy  , she  ' s as morning - glo ry ex uber ant as she was in a mel ie  ."", 9.524822235107422e-05), (' aud rey  t at ou has a knack for picking roles that  mag n ify her outrageous charm', 9.524822235107422e-05), (' aud rey  t at ou', 9.524822235107422e-05), ('has a knack for picking roles that  mag n ify her outrageous charm', 9.524822235107422e-05), ('a knack for picking roles that  mag n ify her outrageous charm', 9.524822235107422e-05)]"
[('', -0.38768965005874634), ('movie', -0.3885916471481323), ('monster', -0.3888327479362488), ('.', -0.38913434743881226), ('a', -0.3895716071128845)]
[('in its best moments  , resembles a bad high school production of grease  , without benefit of song  .', -0.014102518558502197), ('resembles a bad high school production of grease  , without benefit of song', -0.09021651744842529), ('a bad high school production of grease  , without benefit of song', -0.09938579797744751), ('in its best moments', -0.11963152885437012), ('its best moments', -0.13944262266159058)]
[('.', -0.2233574390411377), ('ends', -0.22910183668136597), ('pumpkin', -0.22990673780441284), ('', -0.23758745193481445), ('humor ends', -0.2422202229499817)]
[('the  idi taro d last s for days  - this just felt like it did  .', 0.07099789381027222), ('the  idi taro d last s for days', 0.06951916217803955), ('this just felt like it did', 0.05818897485733032), ('felt like it did', 0.029488742351531982), ('like it did', -0.002046525478363037)]
[('hold en ca ul field did it better  .', 0.0089682936668396), ('hold en ca ul field', -0.03446340560913086), ('did it better', -0.1369735598564148), ('ca', -0.15920472145080566), ('ul', -0.1603134274482727)]
[('a  d elect able and intriguing thriller filled with surprise s  , read my lips is an original  .', 0.00034868717193603516), ('a  d elect able and intriguing thriller filled with surprise s', 0.00034868717193603516), ('a  d elect able and intriguing thriller', 0.00034868717193603516), (' d elect able and intriguing', 0.00034868717193603516), ('able and intriguing', 0.00034868717193603516)]
[('seldom has a movie so closely matched the spirit of a man and his work  .', 0.020462393760681152), ('so closely matched the spirit of a man and his work', 0.020462393760681152), ('matched the spirit of a man and his work', 0.020462393760681152), ('the spirit of a man and his work', 0.020462393760681152), ('the spirit of a man', 0.020462393760681152)]
[('laugh', -0.37573540210723877), ('', -0.37720024585723877), ('make', -0.3780469298362732), ('people', -0.378049373626709), ('sex', -0.37806808948516846)]
[('the action switches between past and present', -0.16653066873550415), ('switches between past and present', -0.1690211296081543), ('between past and present', -0.1769387125968933), ('past and present', -0.18671607971191406), ('past', -0.21718603372573853)]
